,multi,text,has_url,comments,pics,source,likes,time,reposts,user.verified,user.description,user.gender,user.messages,user.followers,user.location,user.time,user.friends,user.verified_type,multi_type,user,rumor
10,,请大家转发！社会车辆让出成雅高速！留出道路给救援队医院和部队车辆，黄金72小时！时间就是生命！PS：照片是雅安现场,False,134,1,iPhone客户端,9,1366421931,705,True,True,m,4310.0,1858.0,四川 成都,1291346200.0,379.0,0.0,,,1
11,,七旬老汉靠卖自己种的菜为生。一个从执法车上下来了一个年轻人，将老汉连扇几个耳光推倒在地。老汉到处寻找执法者，只想告诉他，我从山里骑和烂单车到这里用了3个多小时只想卖点钱给生病卧床的老伴买药。有良知的帮忙转一下，替老汉夺回公道.不会转，会脏了你的微博账号对吗？有心就转，没心就算了！,False,25,1,微博 weibo.com,0,1339332089,114,False,True,m,39.0,8971.0,海外 美国,1306733712.0,480.0,-1.0,,,1
12,,家乐福发生突发事件，营业时间所有出入口用铁门封闭，不许进出，原因是一女士在结账时跟在身边的孩子突然失踪，幸亏及时报警，家乐福立刻封闭所有出入口，后来孩子在二楼卫生间找到，头发被剃光，衣服被换掉，人贩子不知去向，团伙作案手法迅速，年关将至，请大家出入公共场合务必带好孩子。请转发[怒],False,72,0,微博桌面,0,1355387731,585,False,False,f,512.0,148.0,山东 青岛,1333086435.0,175.0,-1.0,,,1
13,,大家帮忙一起转 ！！！朋友妈妈在公交捡到了个钱包，里面有两张身份证，驾驶证，和三张1月25号惠州到武昌的火车票，名字分别是陈翠珍，高艳林，张馨元。春运期间，不知道失主花了多少功夫买这三张卧铺票，没了身份证如何回家过年，一定急疯了。转发举手之劳。 (联系:陈珉岩 13006609059),False,36,0,iPhone客户端,1,1358761934,251,False,False,f,893.0,623.0,上海 徐汇区,1291889984.0,219.0,-1.0,,,1
14,,【求扩散】Mico是中美混血男孩，3周岁，身高1米左右，偏瘦，寸头，离开时身穿绿色棉布大衣、深蓝色裤子、咖色皮鞋，能说简单的中文及英文。于1月7日16：33分左右，在爱绿双语幼儿园门口育秀路段（大润发周边）被抢走，至今下落未明，他的妈妈已近崩溃，望知情者提供线索，求扩散！,False,100,1,专业版微博,6,1357721054,777,True,True,m,297.0,50906.0,广东 潮州,1324888138.0,807.0,5.0,,,1
15,,东海舰队徐州号护卫舰和一艘宋级柴电常规动力潜艇以及两艘海监船在钓鱼岛海域与日本金刚号、足柄号宙斯盾级驱逐舰和白根号护卫舰发生冲突，持续45分钟。日本最新的宙斯盾级足柄号驱逐舰当场被击中沉没，金刚号严重受创，白根号护卫舰在返航途中沉没。日本海上自卫队已派出救援队伍。中国海军徐州号受创,False,82,1,微博 weibo.com,2,1347349237,308,False,True,m,252.0,34403.0,上海,1293094629.0,1954.0,-1.0,,,1
16,,⚠转发: 帮忙转一下，一名北京三中的学生，叫谢露，13岁，消失几天了，他爸爸的号码是18611098634，或者18210183168，爱心接力，好友们都帮她忙转下，必有好报 。转发,False,34,0,iPhone客户端,0,1360076449,153,False,True,m,7283.0,1351.0,江苏 南京,1268874306.0,2854.0,220.0,,,1
17,,中国红十字会——你们凭什么购买这么多路虎？一种无耻可以肆无忌惮！一种诈骗可以正大光明！一种抢劫可以毫无顾忌！一种挥霍可以明目张胆！一种贪污可以合情合理！一种发言可以掩盖真相！——最后，一种法律对它视而不见！一个国家的慈善机构，贪婪到连慈善捐款都不放过，你们到底是什么人——？？？,False,48,1,微博 weibo.com,2,1354770270,228,False,True,f,2531.0,8235.0,湖北 武汉,1311770408.0,1807.0,220.0,,,1
18,,够了！！！[嘻嘻],False,212,1,微博 weibo.com,96,1393839101,718,True,True,m,15420.0,699450.0,海外 希腊,1255164331.0,259.0,0.0,,,1
19,,：【城管为了赶走路边卖小动物的小贩，把小贩的小动物全部活活踩死】因为小贩收摊慢了点，城管把小动物活活摔死，有小狗、小兔子、小乌龟和宠物鼠。小兔子被踩扁了，小狗的嘴里被踩出了鲜血，好多动物都摔成一团！！就算你要管理，但是也请你们珍惜生命。,False,207,1,微博 weibo.com,2,1345711268,628,False,True,m,11570.0,44454.0,上海 普陀区,1340615052.0,1057.0,-1.0,,,1
20,,"[围观]十万火急---请帮忙转下：一个重庆打工者，22岁，叫吴云飞，不知道在什么地方，请他速回重庆，直接到重庆鱼嘴人民医院。家中失火，父母双亡，妹妹伤势很严重，想见他最后一面。舅舅：15523263869[爱心传递]。这个不转对不起自己的良心 ,[心]重庆市綦江县古南街道百步梯社区党委罗东托[爱心传递]",False,17,1,微博 weibo.com,0,1350188615,212,False,True,f,54685.0,555043.0,上海 徐汇区,1322219866.0,317.0,-1.0,,,1
21,,美国高二的数学...请用一句话概况你的感受！,False,92,1,皮皮时光机,4,1350012624,145,False,True,f,60621.0,556084.0,福建,1324477350.0,995.0,-1.0,,,1
22,,【10万元可全家移民瑞典？】新华网：欧洲移民又推新渠道，10万瑞典克朗（约10万元RMB）成立一家公司即可获全家居留许可。无经营范围限制，无员工数量要求，无须收入证明。即可与瑞典人享有同等的“从摇篮到坟墓”的福利与政策，免费教育，免费医疗，父母津贴，儿童津贴，学习津贴，失业救济同时享有。,False,81,1,爱物网,4,1365750004,190,True,True,f,80942.0,1452868.0,北京,1277446741.0,871.0,2.0,,,1
23,,【男子酒吧被阉割系发生在湖州】凌晨网友称温州某酒吧男子生殖器被割，经过查证核实，此事系发生在浙江湖州莉丽玛莲酒吧。“湖州一帅哥在酒吧闹事并殴打服务员，被内保请到里间武力开导，结果砍刀过于锋利，直接被“切睾”了，到医院的时候就已经死了。另还有三四人被砍倒。”@重口味是怎样炼成的,False,240,1,皮皮时光机,13,1355288482,309,False,True,f,23885.0,700500.0,广东,1306288930.0,177.0,-1.0,,,1
24,,李盟盟，21岁，河南开封县陈留四中学生，今年高考565分。因县招办失职把她的志愿 申请锁在柜子忘了提交，造成任何大学都上不成。河南省高招办回应，此事不予处理！ 李盟盟是农村孩子，为供其上学妹妹辍学打工，父亲打工摔断了腿。你的一次转发也许 就能帮她改变命运！试试能否创造奇迹！  ！,False,44,0,Android客户端,1,1372964509,773,False,True,m,2130.0,182.0,北京 海淀区,1318310385.0,92.0,-1.0,,,1
25,,1988年3月13日，四川石棉县发生森林火灾，石棉中学组织学生扑火，因火势太大，县里用车将学生强制送下山，学生周伟等三人强行下车执意不走，后火势蔓延，周伟和王海匆匆逃离，而另一学生高度近视，惶恐中在火海中罹难。县宣传部长原为罹难学生父亲部下，后将事迹通报中央，“赖宁的故事”广为传播。,False,35,1,微博 weibo.com,5,1363178713,97,False,True,m,81528.0,55763.0,陕西 西安,1321887053.0,11.0,-1.0,,,1
26,, @新浪早晚报 安徽淮南一位三四岁的小女孩，在同家人在外逛街时，转眼被人虏走，半个小时后家人找到女孩，内脏被挖，送往淮南某医院，拒绝接收，送往合肥某医院，死亡…不知拿着女孩内脏的人，现在是否听到女孩家人撕心裂肺的哭声…,False,36,0,三星Galaxy Note II,0,1359019284,146,False,False,f,940.0,84.0,安徽 淮南,1272355780.0,147.0,-1.0,,,1
27,,轰动全国的安徽籍YP秦某在上海市长宁区新泾地区散落17600元遭哄抢，警方在秦某取款的银行处查实，秦某仅取款7600元，而非秦某谎称的17600元，而截至今日秦某的7600元已全部返还，所以剩下的一万元永远不可能出现了。秦某的演技，使得上海市民仅去电视台为其捐款就达三万余元。秦某并号称抢钱的是上海人,False,52,1,iPhone客户端,1,1360278210,545,False,True,m,877.0,2920.0,上海 黄浦区,1342943811.0,73.0,-1.0,,,1
28,,[衰]【网传不实旧图，火车盒饭只要5元？】坐鸟10年火车，五元的盒饭见所未见闻所未闻，如今竟出现在央视的《新闻联播》里，记者报道火车上的东西一点都不贵！火车上的便民盒饭仅需5元！肉和菜都冒尖尖了只要5元！农民工朋友如果吃不饱还可以加饭！原来这一切都是假的……,False,377,1,微吧,4,1359379894,999,True,True,f,13268.0,671145.0,四川 成都,1280989541.0,1704.0,7.0,,,1
29,,#早安#【第11版新华字典让我们高中都白学了】地壳qiao改为地壳ke，阿e房pang宫改为阿a房fang宫，心宽体胖pan改为心宽体胖pang……[衰],False,133,1,周博通微博管家,1,1353287076,590,False,True,f,17489.0,44737.0,天津 河西区,1319214773.0,1961.0,-1.0,topic,,1
30,,【新浪微博最重磅消息】根据得到的内幕爆料，新浪微博即将在3月5日率先在会员中开启“微博访客记录”功能，您可以在页面右侧看到所有来访微博记录！“悄悄关注”真的需要悄悄看了哦[酷],False,132,1,微博 weibo.com,10,1362320674,511,False,True,f,584.0,41634.0,上海 徐汇区,1274543720.0,45.0,-1.0,,,1
31,,央视大楼的设计者已经公开承认它的色情寓意，是那个日本搞生殖器建筑的设计师推荐的。主楼女性生殖器，副楼男性生殖器，央视这帮饭桶，让人玩了才恍然大悟，真是自取其辱。那个日本建筑师当时是五评委之一，早就看出了它的色情寓意，在这么庄重的建筑上开这么大的玩笑，羞辱了谁？请央视领导回答？转载,False,103,1,Android客户端,6,1378284782,285,False,False,m,48976.0,24092.0,江苏,1342854100.0,2749.0,220.0,,,1
32,,中国红十字会是唯一不加入国际红十字会的会员国——原来是山寨的，加入国际红十字会就必须在人事安排，行动、管理等方面符合国际规格，且账目必须向国际红十字会公开，多年来红十字会一方面是接受捐款，一方面是国家给予政府的津贴的机构。（阮次山）,False,16,0,微博 weibo.com,3,1366589648,117,True,True,m,9496.0,160292.0,浙江 温州,1278840005.0,680.0,0.0,,,1
33,,相声演员侯耀华发的，不是我发的！,False,27,1,Android客户端,13,1395069890,109,True,True,m,25180.0,20933.0,广东 广州,1322536023.0,2731.0,0.0,,,1
34,,【俄媒：失联客机在美国印度洋基地迭戈卡西亚岛！[吃惊]】俄罗斯媒体称，俄军方不愿意透露姓名的人仕说，据他们掌握的信息，失联客机在美国印度洋基地迭戈卡西亚岛，客机藏在机库里，这个新机库是两年前建的，能停B52等大型机体。美国这样做无非就是勒索中国不要倒向俄 http://t.cn/8s2LJo1 ,True,85,3,iPhone客户端,4,1394897053,235,True,True,m,5528.0,65204.0,海外 美国,1307148299.0,532.0,0.0,,,1
35,,十万火急-----谁的群多？请帮忙转一下：一个重庆打工者，22岁，叫吴云飞，不知道在什么地方，请他速回重庆，直接到重庆鱼嘴人民医院。家中失火，父母双亡，妹妹伤势很严重，想见他最后一面。舅舅：15523263869——爱心接力。【新中飞】,False,20,0,三星Galaxy SIII,0,1349756254,113,True,True,m,1342.0,164357.0,上海,1302614236.0,432.0,0.0,,,1
36,,都跟你们说过很多次，微博草根大号都是营销账号，日常维护只是为了左右民意，粘合粉丝。想知道这次315他们都得到多少公关费用吗？何润东3W，郑渊洁3W，留几手4.5W。大家还记得作业本小鲁事件吗？,False,36,0,iPhone客户端,2,1363361566,148,False,True,m,130.0,6926.0,海外 其他,1330923223.0,0.0,-1.0,,,1
37,,男童鞋们以后尽量少饮酒，特别是高度白酒，否则体内酒精残留过多会引起自燃。河南一名22岁的男子在和女友做爱过程中，由于“活塞”运动中的摩擦热，生殖器突然自燃起火，并灼伤其同居女友…Oh，麦愛糕，怎么会这种事？我和我的小伙伴都惊呆了！从此，我那幼小纯洁的心灵留下做爱的阴影！转[吃惊],False,80,1,微博 weibo.com,5,1385108116,387,False,True,f,3111.0,243581.0,其他,1313395181.0,901.0,-1.0,,,1
38,,各位施主，快出来看瀑布，黄果树还敢说自己是最宽最长的吗？,False,16,1,微博 weibo.com,3,1371699389,154,False,True,m,1213.0,1465.0,四川 成都,1314239459.0,655.0,-1.0,,,1
39,,【打针西瓜】入夏，西瓜成为首选的消暑食品，但黑心商贩却把针头对准了尚未成熟的西瓜。“打针西瓜”所注射的禁用食品添加剂甜蜜素和胭脂红！打过针的西瓜瓜瓤呈红色，汁液也很“丰富”，但没有一点西瓜味。所用添加剂破坏  肝脏、肾脏的功能、影响儿童智力发育等毒性！,False,62,1,小鸟定时,4,1369557319,107,True,True,m,19678.0,901409.0,重庆 江北区,1315068589.0,2914.0,0.0,,,1
40,,【泰国免签】中泰外长上周会面，探讨互免签证问题。新闻：http://t.cn/zQpvDvu 中新网：泰国与中国磋商将于今年9月起两国游客互免旅游签证http://t.cn/zQNnRXP 希望每年可吸引500万中国游客，之前中国影片“泰囧”带动了中国人游泰国热。泰国国家新闻局发文证实了两国即将放松签证要求的新闻（如图2）,True,137,9,微博 weibo.com,9,1375860800,332,False,True,m,64159.0,481880.0,海外 加拿大,1312406626.0,108.0,220.0,,,1
41,,今天下午六点开始， 高清.探头全部启动，副驾驶室不系安全带相同处罚，开车时打电话罚款50元，闯黄闪罚200，越线停车罚100，今天起晚六 点半至深夜二点，为期60天，全国交警集中查处酒驾，一经查获，一律拘役六个月，五年内不得考证。每月10、20、30日由省厅带队检查，每月3、7、13、17、23日,False,13,1,iPhone客户端,0,1361265860,283,False,True,f,11950.0,75101.0,上海 静安区,1293433364.0,1796.0,220.0,,,1
42,,【让人心碎，他本打算在终点线求婚的】推特账户YourGentleman发推文披露一男子本打算在马拉松比赛终点线向参加比赛的女友求婚，怎料女友在爆炸案中不幸丧生，自此天人永隔。他在推文中这样写道：“这……让人心碎。他本打算在终点线求婚的”。。。。by网站分析公会 [伤心],False,34,1,微博 weibo.com,4,1366119846,123,False,True,f,13766.0,450470.0,广东 广州,1306503039.0,2538.0,-1.0,,,1
43,,【毁三观啊！！！[抓狂]】独居父亲因儿子长得像妻子 难抑冲动对其施暴[吃惊][抓狂],False,32,1,微博 weibo.com,1,1366172858,99,False,True,m,21758.0,97445.0,上海 静安区,1320631794.0,838.0,-1.0,,,1
44,,【对比】1996年在澳大利亚悉尼，一只野狗在水库大便，结果当地水务局鉴定水质污染，悉尼水业在电视台和报社打广告，告诉大家自来水被污染；2013年在中国上海，几千头死猪出现在黄浦江，结果当地水务局宣布水质没有问题.. ,False,28,1,皮皮时光机,0,1363221314,394,False,False,m,6740.0,13440.0,上海 卢湾区,1317275961.0,197.0,-1.0,,,1
45,,@無名：神九燃料2万美元一千克，共需450吨，神九油钱就630亿。然而，中国免费教育需要600亿。可怜哪些贫家子弟呀,False,67,0,享拍微博通,1,1371127990,176,False,True,m,6621.0,4410.0,江西 九江,1299657431.0,1864.0,-1.0,,,1
46,,太好了，最好全都死光光!!!日美海上军演发生直升机相撞，造成日自卫队36人死亡 - 据日本朝日新闻报道17日凌晨日美海上演习时两架阿帕奇直升机发生相撞事故，日本自卫队36人下落不明，日本防卫省正在调查事故原因，自今天下午14点已经发现33具... http://t.cn/zjkqlU1,True,97,1,中华网,1,1358491689,979,False,True,f,5089.0,3065.0,广东 广州,1315199606.0,2377.0,220.0,,,1
47,,"【太活跃的鱼千万别买】去菜场买鱼,结果看到惊人一幕,摊贩往大水盆内加入一种白色粉未,迅速用手搅拌,一会功夫白色粉未就溶解了,将半死不活的鱼虾倒入其中,没想到,鱼虾一会儿就活蹦乱跳开,仿佛这些鱼都是才从河中捕回来的.这是一种能够致癌的催化剂，俗称鱼浮灵，也对智力有影响！(关注@成都美食排行榜)",False,24,1,皮皮时光机,0,1347538744,98,False,True,f,30391.0,251765.0,四川 成都,1306213958.0,1754.0,-1.0,,,1
48,,"据@小龍微观察 揭露【猪都笑了.大家都来围观,这就是天朝的官员】#四川雅安7级地震#湖南省张副省长一顿只吃一个菜 ，在接受电视台采访时大谈廉政感想。尼玛坐在这么豪华的包厢吃半盘菜装B，作秀过了头，让人深感恶心和虚伪！[抓狂]",False,49,1,iPhone客户端,6,1366619106,127,True,True,m,10037.0,161092.0,北京,1262231251.0,198.0,0.0,topic,,1
49,,感动中国！！！,False,6,1,壕,0,1361538549,113,True,True,m,18843.0,6027.0,四川 遂宁,1301501993.0,559.0,0.0,,,1
50,,20年前，中国有公务员1000多万，经过20年的不泄努力，终于精简到了5700万，取得了巨大成绩。,False,40,1,微博 weibo.com,9,1395622972,197,False,True,m,32904.0,16808.0,北京 海淀区,1304159631.0,4745.0,220.0,,,1
51,,【网爆延安打人女城管艳照】延安女城管遭人肉，相册被破解艳照流出！霸气侧漏。网友戏称其：白天打人，晚上吃人！转发！！,False,336,1,360安全浏览器,99,1370615413,799,False,True,m,20677.0,15007.0,北京 海淀区,1357833786.0,1730.0,220.0,,,1
52,,已经证实保罗没死！图慎点。,False,19,1,Android客户端,5,1385959433,79,True,True,m,29139.0,4158027.0,海外 瑞士,1333210283.0,828.0,0.0,,,1
53,,"3月27号，河南洛阳市一女子宋丽因为太漂亮，在被强奸时，不主动配合强奸,导致强奸者生殖器官折断，因失血过多而身亡。昨日洛阳市洛龙区法院审结此案，判决该女子构成过失致死罪，缓刑3年，并赔偿被害人江某家属经济损失8.8万元。 不配合强奸致死案——以后一定要配合！-法律界 http://t.cn/hH4QC",True,24,1,360安全浏览器,0,1356749787,123,False,False,f,177.0,599.0,北京 东城区,1351911672.0,25.0,-1.0,,,1
54,,今日爆炸性新闻！！！@京华时报，头条新闻：“赵本山涉黑转巨资被扣留”！,False,206,1,微博 weibo.com,13,1350619713,569,False,True,f,212.0,4106.0,上海 浦东新区,1305615967.0,618.0,-1.0,,,1
55,,各位注意：5月12日不要去电影院。 请大家一定别进影院，大家一起为《贞子》票房为零，做努力！ 中国人拍的《金陵十三钗》在日本小鬼子票房为零。小日本拍的《贞子》3D将于5月12日在中国大陆上映。而5月12日既是南京大屠杀纪念日，又是国难日。勿忘国耻！！作为中国人，敢不敢让贞子3D 5月12日票房为零,False,24,0,微博桌面,1,1364807843,115,True,False,m,1023.0,773.0,云南 丽江,1319895896.0,715.0,0.0,,,1
56,,波士顿爆炸案，现在是随便美国人说死伤了多少。事实告诉全球人民，一个声光烟的表演后，各演员向舞台中心跑去，包围现场，驱离围观者。然后一个个本来就是残疾人的演员被抬上轮椅，抱着假肢，图上鸡鸭血后出来摆拍。小布什开始笑话奥巴马，下手虽比911留情了，但却是更假了。全怪执行导演找错了演员。,False,36,1,微博桌面,7,1366116383,137,False,True,f,5938.0,19855.0,安徽,1337069666.0,40.0,-1.0,,,1
57,,有车的朋友要注意了啊！！！加油时你要注意加油员的这个小动作了...（转）,False,27,1,皮皮时光机,1,1362115204,197,False,True,f,3048.0,273604.0,北京 东城区,1301706233.0,228.0,-1.0,,,1
58,,太可怕了，今年3.15又有17种“问题食品”曝光：1兰州拉面，2砂锅粥‘加料’致癌，3来伊份，4立顿茶，5太子了奶粉，6星巴克冰乐，7东北饺子参老鼠肉，8蛋黄派和榴莲酥，9蒙牛，10统一奶茶，11蛇果上蜡，12可乐，13费列巧克力有‘活蛀虫’，14烧烤，15人造鸡蛋，16绝育黄瓜，17果粒橙！这是在服毒吗？转,False,46,1,微博桌面,2,1363057257,314,True,True,m,6528.0,42788.0,江苏 宿迁,1348815915.0,1139.0,0.0,,,1
59,,转：朋友在北京月星家居捡到一个钱包，里面有卡数张，现金一千二北左右，火车票一张，名字叫刘学伟，车票是后天的，失主请联系:13895686886，北京的朋友请转发,False,100,0,三星Galaxy Note II,87,1388899321,444,True,True,f,1038.0,17947.0,北京 朝阳区,1307810356.0,543.0,0.0,,,1
60,,"安利老板身故!才56岁,吃了27年的纽崔莱,好讽刺啊!2013年10月16日,安利冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,吃了27年纽崔莱,为美国人赚了27年钱。 安利大师超凡创办人王慈官《远离贫穷》《完整的植物是最好的药物》作者,于2006年7月29日6时在福州逝世.享年61岁。",False,208,1,微博 weibo.com,19,1384323416,782,True,True,m,460.0,2436.0,四川 绵阳,1298082653.0,994.0,0.0,,,1
61,,【7.6万箱含氯可口可乐流入市场】2月初，可口可乐山西饮料公司因管道改造，致使消毒用的含氯处理水混入9批次12万箱可口可乐中，目前确认76391箱流入市场。山西质监局调查事件时发现，该公司以维修电脑为由删除了2月4日到8日部分相关生产记录和全部电邮，关键证人被安排带薪休假。http://t.cn/zY4kOZE,True,29,1,皮皮时光机,0,1359773887,253,False,True,m,5667.0,51104.0,浙江 杭州,1318641649.0,109.0,-1.0,,,1
62,,马航旧广告，推特上传疯了。,False,112,1,Android客户端,142,1395100803,310,False,True,m,3193.0,825176.0,北京,1342440480.0,362.0,-1.0,,,1
63,,网传台湾前领导人 前国民党员 李登辉因心脏病去世！记得以前特别痛恨他，后来才发现原来真正阻碍两岸统一另有其人（我什么也没说）！他从支持统一到支持独立，这只不过是在维护台湾的利益罢了！虽然不同意他某些做法置！但仅其出发点而言，他已经比他对岸那些同行们优秀太多了,False,38,1,红围脖iPhone客户端,0,1344909129,116,False,True,m,12183.0,8570.0,广东 深圳,1273273809.0,1527.0,220.0,,,1
64,,上海某 酒吧一帅气男子当场被阉割；案发现场酒吧一白色保时捷上下来四人进入该酒吧将一男子当场阉割[，场面极为惨烈及壮观；鸡毁人亡[抠鼻]；睡了不该睡的人；大家引以为戒吧。乱睡別人的人是要付出代价的 我在:http://t.cn/zHd3y2N,True,29,2,iPhone客户端,1,1372008657,155,False,True,m,219.0,80.0,广西 玉林,1308794660.0,289.0,-1.0,place,,1
65,,真相：【刘翔在医院图】最后一张慎点！！！看到心都碎了！！！[伤心]那些骂刘翔的人看清楚了！,False,124,1,iPhone客户端,9,1344419138,300,True,True,m,838.0,33460.0,海外 加拿大,1270876832.0,508.0,0.0,,,1
66,,昨日福建省泉州市警察局抓到几个拐卖小孩犯罪团伙，现场获救了一名5岁的小孩。因他还小，说不清楚自己家的详细地址和家里的电话。只知道他是云南昭通市人！如果你认识他麻烦你转告他家人到福建省泉州市公安局来接他。请看到的每一个朋友都能帮忙转一下！小孩实在是太可怜了。http://t.cn/zjb1oUB,True,28,1,微博 weibo.com,0,1353905407,583,False,True,f,3125.0,274.0,广东 深圳,1289746160.0,330.0,-1.0,,,1
67,,【网传李天一案女主角撤诉】据某著名编辑透露，李天一案女主角撤销控诉，已达和解意向。因未满18岁，且当时已醉酒，被重判的可能性极低，经李天一等人家长的奔走，最终联系上女孩父母进行“长谈”，受害人终得到包括落实北京户口、工作及一套住房。#网友：原来京城的户口是可以用来轮奸的！#,False,39,1,天语云智能手机大黄蜂,0,1361797067,152,True,True,m,5761.0,1976.0,山东 青岛,1296999741.0,963.0,0.0,,,1
68,,吃榴莲后，喝可口可乐，毒过眼镜蛇！ 又一游客，客死泰国异乡！ 一位中国游客在泰国旅游的时候，吃了很多榴莲之后又喝了可乐，致咖啡因中毒血压飙升，结果引发心脏病猝死，年仅28岁，泰国有明确规定，食用大量榴莲后，8小时之内不能喝可口可乐！ 圈里爱榴莲的朋友很多，转发提醒一下! 让所有人都知道！,False,41,1,皮皮时光机,2,1375701910,186,False,True,m,1321.0,7934.0,广东 清远,1324287999.0,1858.0,-1.0,,,1
69,,传原海军副司令员王守业就栽在她的手里 - 传原海军司令员王守业落马导火索是王的一个文艺女兵情妇，真是印证了一句俚语：阴沟里面翻大船。小美女扳倒了大中将。这个女兵就是南京军区前线文工团蒋雯。　  蒋雯成为王... http://t.cn/zTVZ8bh,True,48,1,中华网,0,1365942134,207,False,False,m,1621.0,15869.0,香港,1307148903.0,1881.0,-1.0,,,1
70,,刘翔！！手术图，慎入,False,20,1,微博 weibo.com,0,1344407950,97,False,True,m,609.0,2487.0,北京 海淀区,1299210570.0,786.0,220.0,,,1
71,,#三记新闻#国务院将于近日正式批复上海市《关于撤消静安区建制将原静安区行政区域拆分划入长宁区和黄浦区的请示》，同意自2013年1月起撤消上海市静安区，以富民路--常德路为界线，其西面整体并入上海市长宁区；其东面整体并入上海市黄浦区；涉及拆分的街道做相应的调整[衰],False,26,1,iPhone客户端,0,1356915015,137,True,True,m,661.0,2344.0,上海 浦东新区,1351187778.0,1951.0,2.0,,,1
